Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Griezmann,Atlético de Madrid,85.589.829,112,13,1071,9,1,3,16,6,14,14,46,164,0,11,0,0,0,3,0,0,0,0
Bellingham,Real Madrid,99.113.111,142,13,1025,11,2,1,1,6,24,18,59,136,0,8,0,0,0,1,0,0,0,0
Lewandowski,FC Barcelona,71.119.326€,83,12,927,7,3,2,1,4,6,16,17,121,0,10,0,0,0,3,0,1,0,0
Kubo,Real Sociedad,67.921.009,105,14,970,5,2,7,14,1,16,10,52,162,0,12,0,0,0,0,0,0,0,0
Aleix García,Girona FC,72.562.139,130,14,1260,3,4,5,38,27,3,5,102,160,0,17,0,0,0,1,0,0,0,0
Aspas,RC Celta,39.721.690€,84,13,1170,0,0,0,0,9,1,0,81,82,0,12,0,33,0,1,0,0,0,0
Valverde,Real Madrid,66.847.159,103,14,1118,1,2,4,2,9,12,7,85,119,0,6,0,0,0,1,0,1,0,0
Vicente Moreno Peris,UD Almería,501.106€,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isco,Real Betis,77.507.740,110,14,1144,2,2,7,33,2,28,15,68,245,0,15,0,0,0,4,0,0,0,0
Iñaki Williams,Athletic Club,54.811.201,113,15,1233,6,3,6,12,13,21,22,70,235,0,16,0,0,0,2,0,0,0,0
Rodrygo,Real Madrid,61.745.345,105,14,969,5,4,2,7,1,28,16,36,129,1,9,0,0,0,0,0,1,0,0
Pedri,FC Barcelona,54.155.984€,34,5,358,1,0,4,2,1,7,3,18,58,0,2,0,0,0,2,0,0,0,0
Brais Méndez,Real Sociedad,40.089.464€,71,10,866,2,1,3,5,10,26,4,76,170,0,9,0,0,0,2,0,0,0,0
Morata,Atlético de Madrid,50.006.363€,77,13,937,5,2,2,16,0,33,16,40,185,0,26,0,0,0,5,0,1,0,0
Gundogan,FC Barcelona,49.090.201€,84,13,1047,1,3,5,18,5,11,4,77,153,0,13,0,0,0,2,0,0,0,0
Kroos,Real Madrid,47.421.229€,92,13,1045,2,2,2,3,13,6,7,72,139,0,5,0,0,0,1,0,0,0,0
sávio,Girona FC,70.553.292,108,14,1137,4,4,5,10,2,32,9,81,197,0,15,0,0,0,1,0,0,0,0
De Jong,FC Barcelona,47.939.459€,46,7,576,1,0,1,2,7,8,2,51,65,0,6,0,0,0,3,0,0,0,0
Araújo,FC Barcelona,39.048.879€,39,14,922,2,0,1,15,17,7,3,63,130,0,23,0,0,0,4,0,0,0,0
Pepelu,Valencia CF,35.512.140€,87,14,1087,1,4,9,27,3,13,13,40,176,2,17,0,0,0,4,0,0,0,0
Oyarzabal,Real Sociedad,33.474.798€,78,14,883,7,1,1,1,5,2,14,30,83,0,9,0,0,0,1,0,0,0,0
Carvajal,Real Madrid,49.469.101€,90,13,1159,0,0,0,0,17,1,0,144,195,0,20,0,52,0,0,0,0,0,0
Joao Cancelo,FC Barcelona,39.765.962€,69,14,1258,0,1,0,0,59,1,8,89,147,0,18,0,0,0,4,0,0,0,1
Joao Félix,FC Barcelona,41.714.892€,63,12,766,0,3,5,21,3,10,0,51,128,0,14,0,0,0,1,0,0,0,0
Joselu,Real Madrid,38.141.880€,75,14,873,6,0,0,1,9,8,13,46,128,0,9,0,0,1,1,0,0,0,0
Muriqi,RCD Mallorca,15.484.370€,57,12,942,1,0,2,10,19,4,1,69,152,0,13,0,0,0,1,0,0,0,0
Zubimendi,Real Sociedad,34.015.356€,81,14,1157,2,1,1,0,24,3,4,97,116,0,15,0,0,0,2,0,0,0,0
Budimir,C.A. Osasuna,17.047.578€,75,14,966,1,3,4,2,1,20,1,59,142,0,10,0,0,0,2,0,0,0,0
Rakitić,Sevilla FC,30.792.712€,81,13,998,2,1,3,36,8,8,6,89,214,0,14,0,0,0,3,0,0,0,0
Borja Mayoral,Getafe CF,24.693.328€,89,14,1170,0,0,0,0,6,0,0,123,182,0,17,0,46,0,2,0,0,1,0
Yangel Herrera,Girona FC,47.952.703€,85,11,729,1,5,6,17,2,26,5,49,154,0,11,0,0,0,1,0,2,0,0
Dovbyk,Girona FC,39.670.275€,82,12,704,6,4,4,0,5,4,15,5,61,0,10,0,0,0,0,0,0,0,0
Gavi,FC Barcelona,24.012.680€,59,14,1025,5,0,3,2,4,7,14,30,78,0,26,0,0,0,1,0,0,0,0
Valles,UD Las Palmas,23.300.238€,101,13,1047,4,4,5,8,2,30,9,71,183,0,14,0,0,0,1,0,0,0,0
Koundé,FC Barcelona,50.943.080€,80,13,846,1,1,1,5,37,6,4,56,73,0,9,0,0,0,0,0,0,0,0
Guerra,Valencia CF,24.249.630€,74,14,1078,2,1,1,15,19,12,16,74,215,0,13,0,0,0,2,0,0,0,0
Camavinga,Real Madrid,26.676.211€,63,11,844,1,0,0,2,13,4,3,53,73,0,4,0,0,0,2,0,0,0,0
Ayoze Pérez,Real Betis,44.290.879€,88,14,1235,2,0,1,17,26,7,5,106,185,0,17,0,0,0,2,0,0,0,0
Samuel Lino,Atlético de Madrid,17.233.047€,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sancet,Athletic Club,30.694.041€,70,13,1081,0,2,0,1,38,5,0,63,102,0,15,0,0,0,0,0,0,0,0
Ter Stegen,FC Barcelona,28.301.245€,89,14,1053,4,1,3,0,6,24,12,77,137,0,13,0,0,0,1,0,0,0,0
Darder,RCD Mallorca,14.150.556€,61,12,751,2,1,2,2,18,0,4,64,111,0,11,0,0,0,1,0,0,0,0
